Interview Questions,Responder 1,Responder 2,Responder 3,Responder 4,Responder 5
What is your age?,24,47,31,22,38
What is your gender?,Male,Male,Female,Female,Male
Which tier of city do you currently live in?,Tier 1,Tier 2,Tier 1,Tier 1,Tier 3
How frequently do you shop for fashion online (Myntra)?,"2-3 times a month


I don't necessarily buy something every time I open Myntra. I browse quite often, especially when I'm looking for shirts, T-shirts, sneakers or something for a particular occasion. I probably make a purchase two or three times a month, but I browse much more frequently than that","3–4 times a month

I browse pretty often. I follow fashion pages and creators, so whenever I see something interesting I'll usually search for it on Myntra. I don't necessarily buy something every time. A lot of the time I'm just looking for ideas
","Once a month


I don't shop for clothes online every week. Usually, I'll browse when I need something specific or when I'm looking for something for work, a trip or an occasion. I might browse several times before actually making a purchase.","2–3 times a month


I browse quite regularly, but I don't purchase every time. I usually wait until I feel the product is worth the price.
","Once every 4-6 months

Honestly, very rarely. I don't normally buy clothes online. I mostly use Myntra to see what's available and get an idea of new designs."
How do you use the Myntra Wishlist?,"I save products that I like but don't want to purchase immediately. I use the wishlist as a shortlist while I compare products and make up my mind.

For me, adding something to the wishlist doesn't necessarily mean I'm going to buy it. If I like something but I'm not 100% convinced, I'll save it. Then I'll come back later, check the reviews, compare it with other products and decide whether it's actually worth buying.","I use the wishlist a lot. If I like something but I'm not sure whether it'll actually look good on me, I'll save it. I don't want to make the decision immediately.

Sometimes I save five or six similar products. Later I'll remove most of them and keep maybe one or two.",I save products that catch my attention so I can come back to them when I actually need something.,"I use it almost like a watchlist. If I really like something, I'll save it and see whether I still want it after a few days",I save products mainly for reference or to look at later.
"On average, how many items are currently sitting in your Myntra wishlist?","15-16 items

I probably have around 15 or 16 things saved right now. Some are things I've recently added, while others have been there for a few weeks.","
10 - 15 items

It gets messy sometimes. I'll have T-shirts, sneakers, shoes, everything mixed together for my daughter, son, my wife and myself. ","6-10 items 

I don't like having hundreds of things saved. If I have too many, I forget why I saved them.","11-20 items

",5–10 items
Think about the last specific clothing item you added to your wishlist. What was the PRIMARY reason you saved it instead of checking out immediately? ,"The last thing I added was a casual shirt. I liked the design and the colour, but I didn't immediately buy it because I wasn't completely sure about the material. The pictures looked good, but I've had situations where the actual fabric wasn't as good as it looked online.

So I saved it and started looking at the reviews. I also checked a few similar shirts from other brands. I wanted to see whether I could get something with better reviews for roughly the same price.

Basically, adding it to the wishlist gives me time to make a decision without losing the product.","The last thing I saved was an oversized shirt. I liked it because the model looked really good in it, but I wasn't sure whether that particular oversized fit would work on me.

Models are styled properly and the photos are taken from good angles, so sometimes you can't tell what the product will actually look like on a normal person.

I wanted to see customer photos and maybe find someone on Instagram or YouTube wearing something similar.

So I saved it rather than buying immediately","I saw a black dress that I really liked, but I didn't have anywhere to wear it at the time. I could have bought it, but then it would just sit in my wardrobe.

I saved it because I thought, ‘Maybe I'll need something like this later.’ I also wanted to think about whether I already had something similar.

I'm actually more concerned about buying something unnecessary than getting a bad product. If I don't have a genuine use for it, I won't buy it just because I like it.","It was a kurta set I really liked, but I felt it was slightly expensive for something I'd probably wear occasionally. So I saved it instead of buying immediately.","I recently saved a laptop bag. I liked the shape and compartments, but I wasn't going to pay the Myntra price immediately. I wanted to see if I could find something similar in the local market."
"For items that have been sitting in your wishlist for over 30 days, do you still genuinely intend to buy them?","It depends on why I saved it. If it's something I genuinely need or something I've been thinking about for a long time, then yes, I might still buy it. But if I saved it just because I liked how it looked while scrolling, then after a month I probably don't care about it anymore.

Sometimes I also find another product that I prefer, so the old wishlist item just stays there.","Usually not.

If something has been sitting there for a month, most of the time I've moved on.

Fashion changes pretty quickly. I might like something today and then see another style next week that I prefer.

There are some things I'll still buy later, especially sneakers or a jacket that I really wanted, but most of the older stuff is basically forgotten.","Usually no.

Not really. If I haven't bought something within a month, there's usually a reason. Either I didn't need it, I found something else, or I simply stopped thinking about it.

There are some exceptions for expensive or occasion-specific things. But generally, an old wishlist is just old consideration. I don't think every wishlist item represents active purchase intent.","Sometimes

If I still remember why I wanted it, yes. But some things just stay there because I never removed them.","Usually no.

Sometimes I've already bought something similar from a local shop by then."
"When you find an item you really like but hesitate to buy, how much does it bother you?","The quality one is definitely the biggest. With fashion, you can't actually touch the product before buying it. A picture can make something look premium, but you don't know how the fabric will actually feel.

Size is the second biggest issue for me. Even if I know my usual size, different brands and different fits can be inconsistent. If I have to return something, it's not impossible, but it becomes an extra task.

Delivery isn't a huge issue for me because most of the time I'm not buying something for a specific date. If I need something urgently, then obviously it matters more.

Refund is somewhere in the middle. I don't usually worry about it before purchasing, but if I've already had a bad return experience, then I become more cautious.","Quality matters, but for me it's more about whether the product looks the way I expect it to.

I don't really worry much about delivery. Most of the time I'm not buying something urgently.","Honestly, I don't worry too much about refunds. I've ordered online enough that I know how returns generally work.

Quality also isn't my biggest concern. Of course I want the product to be good, but if I really need something, I'll read reviews and make the decision.

Delivery is different. If I'm buying something for a wedding or an office event, getting it late makes the purchase useless. So delivery becomes a much bigger issue when there's a deadline.",My biggest hesitation is whether I feel I'm getting enough value for the money.,These aren't really my concerns because I don't buy much online in the first place.
"In your own words, describe a past negative experience (on Myntra or elsewhere) that makes you hesitate to buy an item sitting in your wishlist today.","I ordered a shirt once because it looked really good in the product photos. The pictures made the fabric look thick and premium, but when I received it, the material felt much cheaper and thinner than I expected.

The shirt itself wasn't necessarily terrible, but it wasn't what I thought I was buying. That's the frustrating part. I didn't have a problem with the design; the problem was that my expectation created by the photos didn't match the actual product.

I ended up returning it. The return itself wasn't a disaster, but it made me more cautious. Now when I see something I really like, I don't immediately assume that it will look exactly like the pictures.

I usually read the reviews and look for customer photos before buying.","I bought a hoodie once that looked really good on the model. The colour looked slightly different when it arrived, but the bigger problem was the fit.

Online it looked relaxed and oversized. On me it just looked big and awkward.",I wouldn't say I've had one terrible Myntra experience that stopped me from shopping. My hesitation is more about buying things that I don't end up using.,I've bought clothes before and later realised I could have found something similar for much less. That made me more careful. Now I compare similar products before spending.,"My main issue isn't a bad Myntra experience. I just find that similar products are often available in local markets for less.

I've done this several times. I'll see a bag online, show the picture to a shopkeeper and ask if he has something similar."
